timestamp,capital,open_positions,total_invested,unrealized_pnl
2025-09-07 22:02:29,1000.0,0,0,0
2025-09-07 22:02:34,1000.0,0,0,0
2025-09-07 22:02:40,1000.0,0,0,0
2025-09-07 22:02:46,1000.0,0,0,0
2025-09-07 22:02:51,1000.0,0,0,0
2025-09-07 22:02:56,1000.0,0,0,0
2025-09-07 22:03:02,1000.0,0,0,0
2025-09-07 22:03:08,1000.0,0,0,0
2025-09-07 22:03:14,1000.0,0,0,0
2025-09-07 22:03:19,1000.0,0,0,0
2025-09-07 22:03:25,1000.0,0,0,0
2025-09-07 22:03:33,1000.0,0,0,0
2025-09-07 22:03:39,1000.0,0,0,0
2025-09-07 22:03:44,1000.0,0,0,0
2025-09-07 22:03:50,1000.0,0,0,0
2025-09-07 22:03:55,1000.0,0,0,0
2025-09-07 22:04:04,1000.0,0,0,0
2025-09-07 22:04:09,1000.0,0,0,0
2025-09-07 22:04:15,1000.0,0,0,0
2025-09-07 22:04:20,1000.0,0,0,0
2025-09-07 22:04:26,1000.0,0,0,0
2025-09-07 22:04:32,1000.0,0,0,0
2025-09-07 22:04:37,1000.0,0,0,0
2025-09-07 22:04:43,1000.0,0,0,0
2025-09-07 22:04:49,1000.0,0,0,0
2025-09-07 22:04:54,1000.0,0,0,0
2025-09-07 22:05:00,1000.0,0,0,0
2025-09-07 22:05:05,1000.0,0,0,0
2025-09-07 22:05:11,1000.0,0,0,0
2025-09-07 22:05:16,1000.0,0,0,0
2025-09-07 22:05:22,1000.0,0,0,0
2025-09-07 22:08:40,1000.0,0,0,0
2025-09-07 22:08:46,1000.0,0,0,0
2025-09-07 22:08:51,1000.0,0,0,0
